,Area,Location,No. of Bedrooms,New/Resale,Lift Available,Car Parking,Maintenance Staff,24x7 Security,Clubhouse,Gas Connection,Price_in_Lakhs
2751,1180,Others,2,0,0,0,1,1,0,1,180.0
2752,550,Mulund East,1,1,0,0,0,0,0,0,90.0
2753,550,Mulund East,1,1,0,0,0,0,0,1,90.0
2754,600,Mulund East,1,0,1,0,0,0,0,0,85.0
2755,400,Mulund East,1,0,0,0,0,0,0,0,55.0
2756,985,Mulund East,2,1,1,0,0,0,0,1,155.0
2757,350,Mulund East,1,0,0,0,0,0,0,1,60.0
2758,558,Mulund East,1,0,1,0,0,0,0,1,92.0
2759,345,Mulund East,1,0,1,0,0,0,0,1,70.0
2760,985,Mulund East,2,0,1,0,0,0,0,1,135.0
2761,650,Mulund East,1,0,1,0,0,0,1,1,115.0
2762,980,Mulund East,2,0,1,0,0,0,1,1,180.0
2763,385,Mulund East,1,0,1,0,0,0,0,1,65.0
2764,575,Mulund East,1,0,1,1,0,0,0,1,95.0
2765,1450,Mulund East,2,0,1,1,0,1,0,1,207.0
2766,550,Mulund East,1,0,1,0,0,0,0,1,110.0
2767,1700,Mulund East,5,1,1,0,0,0,1,1,330.0
2768,1650,Mulund East,4,1,1,0,0,0,0,1,335.0
2769,417,Mulund West,1,1,1,1,0,1,0,0,90.0
2770,585,Mulund West,1,0,0,1,0,1,0,0,98.0
2771,800,Mulund West,2,0,1,1,0,1,0,0,125.0
2772,600,Mulund West,1,0,1,1,0,1,0,1,110.0
2773,2600,Mulund West,3,0,1,0,0,0,1,0,510.0
2774,950,Mulund West,2,0,1,0,0,0,0,0,150.0
2775,1100,Mulund West,2,0,0,0,0,0,0,1,185.0
2776,1100,Mulund West,2,0,1,0,0,0,1,1,180.0
2777,1560,Mulund West,3,1,1,1,0,0,1,1,270.0
2778,927,Mulund West,2,1,1,1,0,0,1,1,155.0
2779,1452,Mulund West,3,0,1,0,0,0,0,1,240.0
2780,660,Mulund West,1,0,1,1,0,0,0,1,107.0
2781,1202,Mulund West,2,1,1,1,0,1,1,1,192.0
2782,1306,Mulund West,3,1,0,0,0,1,0,0,325.99999
2783,1118,Mulund West,3,1,1,1,0,0,1,0,233.0
2784,1160,Mulund West,3,1,0,0,0,1,0,0,290.0
2785,1309,Mulund West,3,1,0,0,0,1,0,0,327.0
